smiles	valid	nswcs	target_logp	predicted_logp	ground_truth_logp
O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)nn1	True	O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)nn1	-2	-2.068006	-3.039
Nc1ncc(-c2cn(C3CC(O)C(COP(=O)(O)O)O3)c(=O)[nH]c2=O)cn1	True	Nc1ncc(-c2cn(C3CC(O)C(COP(=O)(O)O)O3)c(=O)[nH]c2=O)cn1	-2	-1.2238128	-1.6665000000000003
CC(C)CC(NC(=O)C=Cc1ccc(OP(=O)(O)O)cc1)C(=O)N1CC2CC2C1C(=O)NC(C)C(O)NO	True	CC(C)CC(NC(=O)C=Cc1ccc(OP(=O)(O)O)cc1)C(=O)N1CC2CC2C1C(=O)NC(C)C(O)NO	-2	1.2136927	0.35100000000000176
CN(O)C(=O)NC1CCC2OC(=O)C(O)C(N)C(N)C12	True	CN(O)C(=O)NC1CCC2OC(=O)C(O)C(N)C(N)C12	-2	-2.5238142	-2.263499999999998
O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=S)[nH]c(=O)nc1	True	O=C1C=CN(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)C(=S)NC(=O)N=C1	-2	-2.283443	-1.8769000000000007
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)CP(=O)(O)CC(C)C(O)C(=O)O)1	True	CC(CP(=O)(O)CP(=O)(O)OCC1OC1n1cnc2c(N)ncnc21)C(O)C(=O)O	-2	-1.9804299	-0.18260000000000054
NS(=O)(=O)c1ccccc1NC(=O)CNCCNNC(=O)O	True	NS(=O)(=O)c1ccccc1NC(=O)CNCCNNC(=O)O	-2	-1.7999806	-1.3656999999999977
CC(NCSSCC(N)C(=O)N(CC(=O)O)O)CCO	True	CC(CCO)NCSSCC(N)C(=O)N(O)CC(=O)O	-2	-1.4572413	-0.6844999999999981
O=P(OC(O)CC(CCOP(=O)(O)O)(O)O)O	True	O=[PH](O)OC(O)CC(O)(O)CCOP(=O)(O)O	-2	-1.6854994	-1.7262000000000004
O=P(O)(O)C(O)(CP(=O)(O)O)P(=O)(O)O	True	O=P(O)(O)CC(O)(P(=O)(O)O)P(=O)(O)O	-2	-2.049471	-1.8344000000000003
CC(NC(=O)OC(O)(C(N)(O)C)O)=O	True	CC(=O)NC(=O)OC(O)(O)C(C)(N)O	-2	-1.7935407	-2.4352999999999994
CNC(=O)C(NC(=O)C(CC(C)C)C(NC(=O)O)C(O)C(=O)NC(C(=N)O)N(C)C(O)C)CC	True	CCC(NC(=O)C(CC(C)C)C(NC(=O)O)C(O)C(=O)NC(C(N)=O)N(C)C(C)O)C(=O)NC	-2	-1.4275302	-1.4657299999999946
NS(=O)(=O)c1ccc(C(=O)CCCCC(=O)NCCCOCC(=O)NO)cc1	True	NS(=O)(=O)c1ccc(C(=O)CCCCC(=O)NCCCOCC(=O)NO)cc1	-2	-1.1055628	0.10540000000000138
COCC(N)C(O)C(O)C(=O)	True	COCC(N)C(O)C(O)C=O	-2	-2.3652909	-2.1191999999999984
N=C(N)NCCCC(NC(=O)CCCCCNC(C)C(=O)NCC(=O)O)C(=O)O	True	CC(NCCCCCC(=O)NC(CCCNC(=N)N)C(=O)O)C(=O)NCC(=O)O	-2	-1.693358	-1.4416299999999937
CNC(=N)NNCCc1c[nH]cn1	True	CNC(=N)NNCCc1c[nH]cn1	-2	-0.2546026	-0.7994299999999996
