smiles	valid	nswcs	target_logp	predicted_logp	ground_truth_logp
CS(=O)(=O)N1CCN(C(O)C(O)CCC2CC(O)NC(NC(=O)C2)CCC=O)CC1	True	CS(=O)(=O)N1CCN(C(O)C(O)CCC2CC(=O)NC(CCC=O)NC(O)C2)CC1	-2	-1.7090669	-2.237499999999991
CC(C)CC(NC(=O)C=Cc1ccc(OP(=O)(O)O)cc1)C(=O)N1CCCC1C(=O)NC(=CC(N)=O)C(=O)NCNC	True	CNCNC(=O)C(=CC(N)=O)NC(=O)C1CCCN1C(=O)C(CC(C)C)NC(=O)C=Cc1ccc(OP(=O)(O)O)cc1	-2	0.124579966	-0.5282999999999956
Nc1ncnc2ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)c12	True	NC1=C2C(=O)N3C=CC(=NC=N1)C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O	-2	-2.1588402	-2.2145000000000006
Nc1ncnc2c(NCC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c1=O	True	Nc1ncnc2c(c1=O)NCC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2	-2	-1.714081	-1.0648000000000004
O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c1=O	True	O=C1C=CN(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)C1=O	-2	-1.9812493	-2.2986
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1=O	True	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1=O	-2	-1.9078202	-1.5378000000000007
O=P(O)(O)C(O)(CP(=O)(O)O)P(=O)(O)O	True	O=P(O)(O)CC(O)(P(=O)(O)O)P(=O)(O)O	-2	-2.049471	-1.8344000000000003
Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O	True	Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O	-2	-1.3913519	-1.1632800000000005
COC(=O)C(CC(=O)O)OS(C)(=O)=O	True	COC(=O)C(CC(=O)O)OS(C)(=O)=O	-2	-1.5072839	-1.0210999999999992
O=C(O)C(CO)NC(O)(O)O	True	O=C(O)C(CO)NC(O)(O)O	-2	-1.721745	-3.390299999999999
O=c1[nH]cnc2c1ncn2CCOCCC(O)COO	True	O=c1[nH]cnc2c1ncn2CCOCCC(O)COO	-2	-1.6597672	-0.6232
O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1	True	O=c1[nH]cnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1	-2	-2.282423	-0.8887000000000003
O=c1[nH]c(=O)n(C2OC(C)=C(O)C(O)C2O)cc1I	True	CC1=C(O)C(O)C(O)C(n2cc(I)c(=O)[nH]c2=O)O1	-2	-2.254324	-0.8187
O=C(O)CCCC=C(CO)C(O)C(O)C(=O)O	True	O=C(O)CCCC=C(CO)C(O)C(O)C(=O)O	-2	-1.4265854	-1.0336
NS(=O)(=O)c1nnc(NC(=O)Cc2ccc(S(N)(=O)=O)cc2)cc1O	True	NS(=O)(=O)c1ccc(CC(=O)Nc2cc(O)c(S(N)(=O)=O)nn2)cc1	-2	-1.2663608	-1.3417999999999999
O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)nn1	True	O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)nn1	-2	-2.068006	-3.039
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C2NCC(O)N(N)C21	True	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C2NCC(O)N(N)C21	-2	-2.1016076	-2.7502999999999984
O=P(O)(O)C(F)(O)CCOP(=O)(O)O	True	O=P(O)(O)OCCC(O)(F)P(=O)(O)O	-2	-1.3293419	-0.7209
O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1O	True	O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1O	-2	-2.467415	-2.7902
CCC(=N)CC(N)(N)C(=O)C(N)=O	True	CCC(=N)CC(N)(N)C(=O)C(N)=O	-2	-1.7244024	-1.5256299999999996
O=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1	True	O=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1	-2	-2.0336168	-1.4717000000000005
CC(C)(O)C#Cc1cc2c(cc1F)OCCn1c-2nc(C(N)=O)c1C(=O)NCCCNOCO	True	CC(C)(O)C#Cc1cc2c(cc1F)OCCn1c-2nc(C(N)=O)c1C(=O)NCCCNOCO	-2	-0.10582578	-0.10619999999999863
O=c1[nH]c(=O)n(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)n2O)cc1I	True	O=c1[nH]c(=O)n(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)N2O)cc1I	-2	-3.1308475	-1.7679999999999991
O=c1[nH]cnc2c1ncn2CC(COCCP(=O)(O)O)COCCP(=O)(O)O	True	O=c1[nH]cnc2c1ncn2CC(COCCP(=O)(O)O)COCCP(=O)(O)O	-2	-1.1492074	-0.8756000000000002
O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c1=S	True	O=C1C=CN(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)C1=S	-2	-1.203905	-1.4978000000000005
