smiles	valid	nswcs	target_logp	predicted_logp	ground_truth_logp
[N-]=[N+]=NCC(OC(=O)OC(C)C(=O)O)C(=O)N	True	CC(OC(=O)OC(CN=[N+]=[N-])C(N)=O)C(=O)O	-2	-1.7025702	-0.22309999999999997
NC(CCP(=O)(O)CP(=O)(O)O)C(=O)NO	True	NC(CCP(=O)(O)CP(=O)(O)O)C(=O)NO	-2	-1.4813633	-1.3852000000000004
COc1ccc(Cc2c(OC3OC(CO)C(O)C(O)C3O)C(C)c(=O)[nH]c2=O)cc1	True	COc1ccc(CC2=C(OC3OC(CO)C(O)C(O)C3O)C(C)C(=O)NC2=O)cc1	-2	-1.488217	-1.3991999999999996
N#CC1CCCN1S(=O)(=O)N1CCC(NC(=O)COCCCO)C(=O)N1	True	N#CC1CCCN1S(=O)(=O)N1CCC(NC(=O)COCCCO)C(=O)N1	-2	-1.901552	-2.160119999999995
O=C(O)CN1C(=O)NC(Cc1c[nH]c2ccccc12)C1=O	True	O=C(O)CN1C(=O)NC2CC1=CNc1ccccc1C2=O	-2	0.7332977	1.0046999999999997
O=C(COCc1ccco1)NNC(S)=NC(=O)C(=O)O	True	O=C(COCc1ccco1)NNC(S)=NC(=O)C(=O)O	-2	-0.23059148	-0.6860000000000002
CNC(=O)NC(CC(C)O)NS(N)(=O)=O	True	CNC(=O)NC(CC(C)O)NS(N)(=O)=O	-2	-2.367758	-2.1944999999999975
Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	True	Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	-2	-2.862869	-2.3357000000000006
N=C(N)NCCCC(C=O)NC(=O)C(CCCNN)NC(=O)C(=O)NCCCCCCNNC(=O)Cc1ccccc1	True	N=C(N)NCCCC(C=O)NC(=O)C(CCCNN)NC(=O)C(=O)NCCCCCCNNC(=O)Cc1ccccc1	-2	-1.5430684	-1.798229999999997
CN(C(=O)CNC(=O)N1CCN(N)CCC(=O)[nH]1)C(=O)O	True	CN(C(=O)O)C(=O)CNC(=O)N1CCN(N)CCC(=O)N1	-2	-2.2111452	-2.2549999999999963
NC(NCP(=O)(O)CP(=O)(O)O)C(=O)O	True	NC(NCP(=O)(O)CP(=O)(O)O)C(=O)O	-2	-1.9366136	-1.6914999999999998
CC(C)CC(NC(=O)C(CCC(=O)O)NC(=O)C)C(=O)NS(N)C(N)=O	True	CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)N[SH](N)C(N)=O	-2	-1.8604195	-1.1283999999999972
O=C(O)CNC(=O)CCC(=O)O	True	O=C(O)CCC(=O)NCC(=O)O	-2	-1.4710703	-0.9480000000000006
COC(=O)C1=CC(=O)NOC(=O)C(O)S1O	True	COC(=O)C1=CC(=O)NOC(=O)C(O)[SH]1O	-2	-2.2162435	-1.5760999999999994
Nc1ncnc2c1ncn2C1CC(OP(=O)(O)O)P(=O)(O)O1	True	Nc1ncnc2c1ncn2C1CC(OP(=O)(O)O)P(=O)(O)O1	-2	-1.4236541	-0.051800000000000124
CC(N)C(=O)N1CCN(C(=O)n2sc3c(ccc[n+]3[O-])c2=O)CC1	True	CC(N)C(=O)N1CCN(C(=O)n2sc3c(ccc[n+]3[O-])c2=O)CC1	-2	-0.5855931	-0.8440999999999996
