smiles	valid	nswcs	target_logp	predicted_logp	ground_truth_logp
CC(C)CC(NC(=O)C1C2CCC(C2)N1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)C(=O)NCC(=O)NC(C(=O)N(C)C)c1ccccc1	True	CC(C)CC(NC(=O)C1C2CCC(C2)N1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)C(=O)NCC(=O)NC(C(=O)N(C)C)c1ccccc1	-2	3.1846962	2.4672000000000054
CC(C)CC(NC(=O)C(C)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CCC(C)C(=O)N	True	CC(C)CC(NC(=O)C(C)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CCC(C)C(N)=O	-2	3.0203	2.4205000000000014
Nc1nc(N2CNCCNCC2)c2cc[nH]c2n1	True	Nc1nc(N2CCNCCNC2)c2cc[nH]c2n1	-2	1.3726604	-0.5031999999999999
COC(=O)CNC(=O)N1CCC(NC(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)C1	True	COC(=O)CNC(=O)N1CCC(NC(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)C1	-2	1.0622491	0.5446000000000009
COC(=NCC(N)=O)c1ccccc1O	True	COC(=NCC(N)=O)c1ccccc1O	-2	0.5623269	0.2704999999999997
COc1ccc(Oc2cc(NC)CCN(P(=O)(O)O)n2)n1C	True	CNC1=CC(Oc2ccc(OC)n2C)=NN(P(=O)(O)O)CC1	-2	1.2748892	0.6276999999999997
O=c1[nH]c(=O)n(C2CC(O)C(COP(=O)(O)O)O2)cc1Cl	True	O=c1[nH]c(=O)n(C2CC(O)C(COP(=O)(O)O)O2)cc1Cl	-2	-1.142618	-1.0523
CC1CN(c2ccccn2)CCN1C(=O)C1CCCCC1	True	CC1CN(c2ccccn2)CCN1C(=O)C1CCCCC1	-2	2.9370441	2.6990000000000007
O=c1[nH]c(=O)n(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)cc1F	True	O=c1[nH]c(=O)n(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)cc1F	-2	-3.1542096	-2.3618000000000006
N=C(NCCc1ccccc1)NC(=O)C(N)(c1cccnc1)c1ccccn1	True	N=C(NCCc1ccccc1)NC(=O)C(N)(c1cccnc1)c1ccccn1	-2	2.8998609	1.56217
Cc1c[nH]C(=O)n(C2OC(CO)C(O)C(O)C2O)cc1Br	True	CC1=CNC(=O)N(C2OC(CO)C(O)C(O)C2O)C=C1Br	-2	-2.035753	-1.0483999999999996
CCCCC(CN(O)C=O)C(=O)NC(C(=O)N(C)C)C(N)=O	True	CCCCC(CN(O)C=O)C(=O)NC(C(N)=O)C(=O)N(C)C	-2	-0.51957834	-1.3012999999999966
ONc1c2ccc(F)nc2nNC1=O	True	O=c1[nH]nc2nc(F)ccc2c1NO	-2	0.5906423	0.2582999999999999
CN1CCN(C(=O)c2cc3cc(I)ccc3[nH]2)CC1	True	CN1CCN(C(=O)c2cc3cc(I)ccc3[nH]2)CC1	-2	1.9893644	2.1601
Nc1ncnc(C#Cc2ccc(N3CCOCC3)nc2)c1-c1ccc(Cl)cc1	True	Nc1ncnc(C#Cc2ccc(N3CCOCC3)nc2)c1-c1ccc(Cl)cc1	-2	2.7154691	3.010600000000001
O=C(CCN1CCN(CC)C(=O)NCc1cccc1)n(OO)c1O	True	CCN1CCN2CCC(=O)N(OO)C(O)=CC=CC=C2CNC1=O	-2	1.1568985	0.8099000000000005
COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cccc(O)c1)O2	True	COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cccc(O)c1)O2	-2	4.0015497	3.9211000000000027
O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1	True	O=c1[nH]cnc2c1ncn2C1CC(O)C(COP(=O)(O)O)O1	-2	-2.3879755	-1.1227000000000007
O=C1NC(=O)C(=Cc2ccc(O)cc2)N1	True	O=C1NC(=O)C(=Cc2ccc(O)cc2)N1	-2	1.0675409	0.5725
CCCC(=O)NC(Cc1ccc(O)cc1)NC(=O)C(CC(=O)N(CC(=O)N)C(=N)CC(C)=O)CCCO	True	CCCC(=O)NC(Cc1ccc(O)cc1)NC(=O)C(CCCO)CC(=O)N(CC(N)=O)C(=N)CC(C)=O	-2	0.4088692	0.3423700000000021
CC(CCC1C(CO)=CCC2C(O)(C)C=CC12O)CC(=O)NCCNC(NO)NO	True	CC(CCC1C(CO)=CCC2C(C)(O)C=CC12O)CC(=O)NCCNC(NO)NO	-2	1.6655982	-0.6534999999999964
Cc1n[nH]c(C)c1S(=O)(=O)N1CCC(Oc2ccc(Cl)cc2F)CC1	True	Cc1n[nH]c(C)c1S(=O)(=O)N1CCC(Oc2ccc(Cl)cc2F)CC1	-2	3.5916896	3.051140000000001
CC(C)N(CC(=O)NO)C(=O)c1ccccc1C(=O)O	True	CC(C)N(CC(=O)NO)C(=O)c1ccccc1C(=O)O	-2	1.7001367	0.7407999999999999
O=[N+]([O-])c1ccccc1S(=O)(=O)c1ccccc1	True	O=[N+]([O-])c1ccccc1S(=O)(=O)c1ccccc1	-2	2.2305186	2.4276
CC(C(=O)O)N(Cc1ccc([N+](=O)[O-])cc1)S(=O)(=O)c1ccccc1	True	CC(C(=O)O)N(Cc1ccc([N+](=O)[O-])cc1)S(=O)(=O)c1ccccc1	-2	2.9652777	2.258800000000001
CC(C)CNS(=O)(=O)c1ccc(N)cc(C(=O)Nc2ncnc(N)n2)NC1=O	True	CC(C)CNS(=O)(=O)C1=CC=C(N)C=C(C(=O)Nc2ncnc(N)n2)NC1=O	-2	0.19919428	-1.2920999999999971
CN1C(=O)c2cccnc2N(NOCCS(=O)(=O)O1)CC	True	CCN1NOCCS(=O)(=O)ON(C)C(=O)c2cccnc21	-2	-0.45699877	-0.30889999999999973
CC(C(=O)O)CONS(=O)(=O)c1cccc(Cl)c1	True	CC(CONS(=O)(=O)c1cccc(Cl)c1)C(=O)O	-2	0.8174737	1.2705999999999995
CC(=O)NC1C(O)C=C(CC=C(O)C(=O)O)C(=O)NC1=O	True	CC(=O)NC1C(=O)NC(=O)C(CC=C(O)C(=O)O)=CC1O	-2	-1.6752722	-1.6485999999999992
Cc1nn(-c2ccccc2)c2cc(N3CCN(N4CCNCC4)CC3)ccc12	True	Cc1nn(-c2ccccc2)c2cc(N3CCN(N4CCNCC4)CC3)ccc12	-2	3.4372451	2.2761199999999997
O=C1Nc2ccc(Cl)cc2C(C#Cc2ncncn2)(C2CC2)N1	True	O=C1Nc2ccc(Cl)cc2C(C#Cc2ncncn2)(C2CC2)N1	-2	2.815571	2.317099999999999
COc1ccccc1N1CCN(CCCNS(=O)(=O)c2ccc([N+](=O)[O-])cc2)CC1	True	COc1ccccc1N1CCN(CCCNS(=O)(=O)c2ccc([N+](=O)[O-])cc2)CC1	-2	2.3375502	2.094
CC1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1ccc(N2CCOCC2)cc1	True	CC1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1ccc(N2CCOCC2)cc1	-2	3.609385	3.5805000000000025
O=C1Nc2ccc(S(=O)(=O)N2CCSCCOO)c(O)c(O)c(O)c1O	True	O=c1[nH]c2ccc(c(O)c(O)c(O)c1O)S(=O)(=O)N2CCSCCOO	-2	-0.8226428	0.053200000000000025
COc1ccc(-c2ccc(S(=O)(=O)NC(C(=O)O)C3CCNC(O)CC3)cc2)cc1	True	COc1ccc(-c2ccc(S(=O)(=O)NC(C(=O)O)C3CCNC(O)CC3)cc2)cc1	-2	2.5787668	1.8017999999999992
CC(C)(O)CNC(=O)c1ccc(NC(=O)N2Cc3ccncc3C2)cc1	True	CC(C)(O)CNC(=O)c1ccc(NC(=O)N2Cc3ccncc3C2)cc1	-2	2.3692086	2.13
O=C(NNC(=O)N1CCN(c2ccccc2O)CC1)c1ccccc1	True	O=C(NNC(=O)N1CCN(c2ccccc2O)CC1)c1ccccc1	-2	2.005046	1.5687999999999995
CC(C)c1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)c2O)cc1	True	CC(C)c1ccc(CC2=CC(C3OC(CO)C(O)C(O)C3O)=C2O)cc1	-2	0.47184014	0.9469999999999998
CN1C(=N)NC(C)(c2sc(-c3cncc(-c4ncco4)c3)cc2Cl)CS1(=O)=O	True	CN1C(=N)NC(C)(c2sc(-c3cncc(-c4ncco4)c3)cc2Cl)CS1(=O)=O	-2	2.9169724	3.133270000000002
O=[N+]([O-])OCC1CCCC1COCC1OCC(O)C(O)C(O)C1O	True	O=[N+]([O-])OCC1CCCC1COCC1OCC(O)C(O)C(O)C1O	-2	-2.0490537	-1.5299999999999987
CC(C)(C)c1cc(NC(=O)N2CCCNCCOc3ccc(C(=O)NCCCC3)C(=O)N2)n1	True	CC(C)(C)C1=CC(NC(=O)N2CCCNCCOC3=CC=C(C(=O)NCCCC3)C(=O)N2)=N1	-2	2.4045205	1.4916000000000014
CCCN(CCC)C(=O)c1cc(C(=O)NC(Cc2ccccc2)C(O)CNC(C)(C)c2cccc(OC)c2)cc(N2CCCCC2)c1	True	CCCN(CCC)C(=O)c1cc(C(=O)NC(Cc2ccccc2)C(O)CNC(C)(C)c2cccc(OC)c2)cc(N2CCCCC2)c1	-2	6.507381	6.174600000000007
COc1ccc(C=C(C#N)c2nc3ccccc3[nH]2)cc1	True	COc1ccc(C=C(C#N)c2nc3ccccc3[nH]2)cc1	-2	3.872912	3.6356800000000016
O=P(O)(O)C(Nc1ccc(Cl)cc1Cl)P(=O)(O)O	True	O=P(O)(O)C(Nc1ccc(Cl)cc1Cl)P(=O)(O)O	-2	2.2665412	2.0443000000000007
Cc1cn(-c2ccc(COP(=O)(O)O)O2)c(=O)[nH]c1=O	True	Cc1cn(-c2ccc(COP(=O)(O)O)o2)c(=O)[nH]c1=O	-2	0.26168355	0.0365199999999995
N=C(N)c1ccc(CNC(=O)C(CO)NC(=O)C(CO)NS(=O)(=O)Cc2ccc(C(=O)O)cc2)cc1	True	N=C(N)c1ccc(CNC(=O)C(CO)NC(=O)C(CO)NS(=O)(=O)Cc2ccc(C(=O)O)cc2)cc1	-2	-0.6247581	-1.7573299999999947
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(C(C)(C)C(=O)COC)cc2)cc1	True	CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(C(C)(C)C(=O)COC)cc2)cc1	-2	3.5962029	3.1545000000000023
NC1CC(CO)C(O)C1O	True	NC1CC(CO)C(O)C1O	-2	-1.3429365	-1.9523000000000004
CN(C)CCNNC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)ON1CC(=O)NC1=O	True	CN(C)CCNNC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)ON1CC(=O)NC1=O	-2	0.663965	-0.545599999999997
CC(=O)c1ccc(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1	True	CC(=O)c1ccc(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1	-2	2.361444	2.2674000000000003
O=c1[nH]c2sccc2c(NC2CCCNC2)c1-c1nc2ccccc2[nH]1	True	O=c1[nH]c2sccc2c(NC2CCCNC2)c1-c1nc2ccccc2[nH]1	-2	3.6206398	3.296800000000001
NC(=O)CCC(NC(=O)C1CCC(=O)N)NC(=O)N1CC(C1C(N)=O)C1	True	NC(=O)CCC1NC(=O)C(CCC(N)=O)N(CC2CC2C(N)=O)C(=O)N1	-2	-2.5682378	-2.5250999999999966
O=C(NCCc1ccccn1)NCCOOCCCc1c[nH]1	True	O=C(NCCOOCCCC1=CN1)NCCc1ccccn1	-2	1.6268301	1.0962999999999996
