smiles	valid	nswcs	target_logp	predicted_logp	ground_truth_logp
Fc1ccccc1NCc1cccc(Cl)cc(Cl)c1Cl	True	Fc1ccccc1NCC1=CC=CC(Cl)=CC(Cl)=C1Cl	10	5.567097	5.545700000000002
Brc1ccccc1-c1ccc(nc3-c2cccs3)nc2s1	True	Brc1ccccc1C1=CC=c2nc3c(c(n2)S1)=CC=CS3	10	5.706244	3.566300000000002
Brc1c(Br)c(Br)c(Br)c(Br)c(Br)cc1Br	True	BrC1=CC(Br)=C(Br)C(Br)=C(Br)C(Br)=C1Br	10	7.935794	7.283
Brc1cccc(Nc2ccnc3cc3cc4ccccc4ccs2)ccc1	True	BrC1=CC=CC(Nc2ccnc3cc-3cc3ccccc3ccs2)=CC=C1	10	7.1478524	7.226100000000004
Brc1cccc(Sc2nccc3ccccc23)c1-c1ccc(Cl)cc1	True	Clc1ccc(-c2c(Br)cccc2Sc2nccc3ccccc23)cc1	10	7.010609	7.468900000000004
Clc1ccccnc(Br)c2cc3nc3c2c1	True	Clc1ccccnc(Br)c2cc3nc-3c2c1	10	3.5100465	4.150500000000001
Brc1ccc(Nc2nc(Nc3ccccc3Cc4ccccc4Cl)n2)cc1	True	Clc1ccccc1Cc1ccccc1NC1=NC(Nc2ccc(Br)cc2)=N1	10	6.3574777	5.942900000000003
Clc1cccc(Cl)c1Oc1ccc(OCc2ccc(Cl)cc2)cc1	True	Clc1ccc(COc2ccc(Oc3c(Cl)cccc3Cl)cc2)cc1	10	6.728233	7.018100000000003
SSCO	True	OCSS	10	1.230621	0.5142
Sc1sc2ncccc2cccc(Br)ccc1NCc1cccc(Cl)c1Cl	True	SC1=C(NCc2cccc(Cl)c2Cl)C=CC(Br)=CC=Cc2cccnc2S1	10	7.791868	7.2310000000000025
Brc1ccc(CSc2nnc(-c3ccccc3)n2Cc2ccccc2)s1	True	Brc1ccc(CSc2nnc(-c3ccccc3)n2Cc2ccccc2)s1	10	6.1682973	6.109700000000005
Clc1ccc(SCn2cccc2Cl)c(Cl)cc(Cl)cc(Cl)c1	True	Clc1ccc(SCn2cccc2Cl)c(Cl)cc(Cl)cc(Cl)c1	10	6.6194167	7.629300000000002
Fc1ccc2onc(CCCc3ccc(C)cc3Cl)c2c1	True	Cc1ccc(CCCc2noc3ccc(F)cc23)c(Cl)c1	10	4.470293	5.104020000000003
Clc1ccc(Cc2ccnc2ccccc1Br)c1ccc(Cl)c(Cl)c1	True	ClC1=CC=C(c2ccc(Cl)c(Cl)c2)CC2=CC=NC2=CC=CC=C1Br	10	7.1111546	7.632900000000003
FC(F)(F)Sc1ccc(Nc2cccc(Cl)cc(Cl)c2Cl)cc1	True	FC(F)(F)Sc1ccc(NC2=CC=CC(Cl)=CC(Cl)=C2Cl)cc1	10	7.3756037	6.976000000000002
