smiles	valid	nswcs	target_logp	predicted_logp	ground_truth_logp
c1ccc(P(c2ccccc2)c2ccccc2)cc1	True	c1ccc(P(c2ccccc2)c2ccccc2)cc1	10	4.614639	3.4448000000000016
Cc1nnc(-c2c(-c3nnc(C(C)(C)C)o3)nn(-c3ccc(Cl)cc3Cl)c2-c2ccc(Br)cc2)o1	True	Cc1nnc(-c2c(-c3nnc(C(C)(C)C)o3)nn(-c3ccc(Cl)cc3Cl)c2-c2ccc(Br)cc2)o1	10	7.7583103	7.314520000000004
Cc1ccccc1OCC(=O)Nc1ccc(-c2ccccc2)cc1	True	Cc1ccccc1OCC(=O)Nc1ccc(-c2ccccc2)cc1	10	5.170371	4.679520000000003
COc1ccc(Br)cc1C=NC(=O)c1ccccc1-c1ccccc1	True	COc1ccc(Br)cc1C=NC(=O)c1ccccc1-c1ccccc1	10	4.987774	5.384000000000004
c1ccc(CNc2nnc(-c3ccc4[nH]ccc4c3)o2)cc1	True	c1ccc(CNc2nnc(-c3ccc4[nH]ccc4c3)o2)cc1	10	4.10158	3.830000000000002
O=C(NC(Cc1ccc(Cl)cc1)C(=O)N1CCN(c2cccc3c2NCCC3)CC1)C1Cc2ccccc2CN1	True	O=C(NC(Cc1ccc(Cl)cc1)C(=O)N1CCN(c2cccc3c2NCCC3)CC1)C1Cc2ccccc2CN1	10	3.8877568	3.788700000000002
CN1CC(C)CCc2ccc(NC(=O)c3cc(-c4cc5ccc(C)c5sccc4Cl)ccc23)CC1	True	CC1=C2SC=CC(Cl)=C(c3ccc4c(c3)C(=O)NC3=CC=C4CCC(C)CN(C)CC3)C=C2C=C1	10	6.753954	7.429700000000007
Cc1ccccc1Cc1c[nH]nn1	True	Cc1ccccc1Cc1c[nH]nn1	10	2.019955	1.7039199999999997
O=C(Nc1ccc(NC(=O)c2ccccc2)s1)Nc1cccc(Cl)c1	True	O=C(Nc1cccc(Cl)c1)Nc1ccc(NC(=O)c2ccccc2)s1	10	5.1090455	5.297800000000002
CCCCCCCCCCCc1ccc(-c2ccccc2)cn1	True	CCCCCCCCCCCc1ccc(-c2ccccc2)cn1	10	6.6409636	6.821900000000007
Clc1ccccc1NCc1sccc1Br	True	Clc1ccccc1NCc1sccc1Br	10	4.2870584	4.776100000000001
CC(C)c1cccc(C(C)C)c1NC(=O)NCC1(c2ccccc2)CCCC1	True	CC(C)c1cccc(C(C)C)c1NC(=O)NCC1(c2ccccc2)CCCC1	10	7.1951404	6.566900000000006
CCCCCCCCc1ccc(C(C)(C)C)cc1C(=O)NCc1ccco1	True	CCCCCCCCc1ccc(C(C)(C)C)cc1C(=O)NCc1ccco1	10	6.166692	6.410100000000007
CCCCCCCCCCCCCCCCCCCCCCC(=O)O	True	CCCCCCCCCCCCCCCCCCCCCCC(=O)O	10	8.168955	8.283000000000008
COc1cc2c(N3CCN(C(S)=Nc4ccc(C#N)cc4)CC3)ncnc2cc1OCCN1CCCC1	True	COc1cc2c(N3CCN(C(S)=Nc4ccc(C#N)cc4)CC3)ncnc2cc1OCCN1CCCC1	10	3.9120207	3.724180000000003
CCCCCCCCc1cc(C)c2nc(SCCCC2CCCC(=O)O)cc1	True	CCCCCCCCC1=CC(C)=C2N=C(C=C1)SCCCC2CCCC(=O)O	10	7.5629406	7.303800000000007
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1	True	Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1	10	4.5474725	4.491300000000002
c1ccc(Cc2cccc(OC3=CCCCC3)c2)cc1	True	C1=C(Oc2cccc(Cc3ccccc3)c2)CCCC1	10	4.585421	5.114100000000004
COc1ccc2c(n1)C1(COF)C(=O)N(Cc2ccc(C(F)(F)F)o1)c2ccccc2C	True	COc1ccc2c(n1)C1(COF)OC(C(F)(F)F)=CC=C2CN(c2ccccc2C)C1=O	10	4.7211943	4.401620000000003
Cc1cccc(Cl)c1NC(=O)c1ccc(-c2cc(Cl)ccc2Cl)s1	True	Cc1cccc(Cl)c1NC(=O)c1ccc(-c2cc(Cl)ccc2Cl)s1	10	6.922135	6.936020000000003
CCCCCc1cc2ccc(OCCCCc3ccccc3)oc2c1	True	CCCCCc1cc2ccc(OCCCCc3ccccc3)oc-2c1	10	5.836924	6.518800000000007
CCCC1C=CCc2ccccc2C1OCc1ccc(O)cc1	True	CCCC1C=CCc2ccccc2C1OCc1ccc(O)cc1	10	5.0433025	5.178700000000005
CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCCC	True	CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCCC	10	7.262714	7.048400000000007
CC(C1CCCCCCC1CCC(c2ccccc2)CCC)c1ccccc1Cl	True	CCCC(CCC1CCCCCCC1C(C)c1ccccc1Cl)c1ccccc1	10	7.1772714	9.3942
Cc1c(-c2ccccc2)c2c1-c1ccc(NCCCN3CCCCC3)cc2s1	True	CC1=C(c2ccccc2)c2c1c1sc2=CC(NCCCN2CCCCC2)=CC=1	10	6.037164	3.9646000000000035
S=C(Nc1ccccc1)N1CCN(c2ccc(Cl)cc2Cl)C1	True	S=C(Nc1ccccc1)N1CCN(c2ccc(Cl)cc2Cl)C1	10	4.991839	4.469900000000003
CCCCN(c1ccc(Cl)cc1)CCCCCCCSc1cccc(Cl)c1	True	CCCCN(CCCCCCCSc1cccc(Cl)c1)c1ccc(Cl)cc1	10	7.124583	8.342700000000004
Clc1cccc(-c2sssc2Cl)c1C	True	Cc1c(Cl)cccc1C1=C(Cl)SSS1	10	4.5739627	5.556520000000002
CCCCCC(c1ccccc1)C(c1ccccc1)Cc1ccccc1	True	CCCCCC(c1ccccc1)C(Cc1ccccc1)c1ccccc1	10	6.6758575	7.377000000000007
CCCCCCn1c(S)nnc1-c1ccccc1	True	CCCCCCn1c(S)nnc1-c1ccccc1	10	3.6074157	3.8141000000000025
COc1ccccc1N1CCN(CCCCCC(=O)c2ccc2Sc2ccccc2)CCC1	True	COc1ccccc1N1CCCN(CCCCCC(=O)C2=CC=C2Sc2ccccc2)CC1	10	5.365859	5.9530000000000065
CCCCCCCCCCCCCCCC(=O)C(=O)c1c(-c2ccccc2)s1	True	CCCCCCCCCCCCCCCC(=O)C(=O)C1=C(c2ccccc2)S1	10	8.719069	7.721500000000008
O=C(Nc1nc(-c2ccccc2)c(-c2ccccc2)cc1)c1ccccc1	True	O=C(Nc1ccc(-c2ccccc2)c(-c2ccccc2)n1)c1ccccc1	10	6.0473638	5.667900000000004
