smiles	valid	nswcs	target_logp	predicted_logp	ground_truth_logp
[O-][n+]1cc(Cl)cc2nc(O)c(O)nc21	True	[O-][n+]1cc(Cl)cc2nc(O)c(O)nc21	2	0.5443111	0.3277999999999999
COC(=O)C1=C(C)NC(=O)NC1c1ccc(O)c(C)c1	True	COC(=O)C1=C(C)NC(=O)NC1c1ccc(O)c(C)c1	2	1.7745862	1.5015199999999995
O=C1NC(=O)C(=Cc2cnn3c(NC4CC4)cc(-c4ccc(C(=O)NC5CCNC5)s4)nc23)N1	True	O=C1NC(=O)C(=Cc2cnn3c(NC4CC4)cc(-c4ccc(C(=O)NC5CCNC5)s4)nc23)N1	2	2.161574	1.3040999999999994
CCN(CC)C(=O)c1ccc(C(=CCN(N)CCNC2)NC2)cc1	True	CCN(CC)C(=O)c1ccc(C2=CCN(N)CCNCCN2)cc1	2	2.4302058	0.8780000000000018
O=C1C=CC(=O)N1c1ccccc1I	True	O=C1C=CC(=O)N1c1ccccc1I	2	1.5950712	1.7206
Cn1nc(Nc2ccc(Cl)cc2)cc(O)c(=O)s1	True	CN1N=C(Nc2ccc(Cl)cc2)C=C(O)C(=O)S1	2	2.7947075	2.6275000000000004
O=C(NO)c1ccc2c(c1)nc(Nc1ccccn1)nn2	True	O=C(NO)c1ccc2nnc(Nc3ccccn3)nc2c1	2	2.1517143	1.2824
CC(C)S(=O)(=O)N1CCN(S(=O)(=O)C2CCC(CC(=O)CCCC(N)C3CC3)cc2)CC1	True	CC(C)S(=O)(=O)N1CCN(S(=O)(=O)C2C=CC(CC(=O)CCCC(N)C3CC3)CC2)CC1	2	2.0900817	1.8736000000000013
CC(C(=O)O)N(Cc1ccccc1[N+](=O)[O-])S(=O)(=O)c1ccc([N+](=O)[O-])cc1	True	CC(C(=O)O)N(Cc1ccccc1[N+](=O)[O-])S(=O)(=O)c1ccc([N+](=O)[O-])cc1	2	2.8054647	2.1670000000000007
COc1ccc(Nc2ncnc3c(N(C)CCOCC3)nn2)cc1	True	COc1ccc(NC2=NC=NC3=C(N=N2)N(C)CCOCC3)cc1	2	2.1484044	2.4784000000000006
O=C1NC(=O)C(=Cc2cnn3c(NC4CC4)nc(NCc4cccnc4N4CCOCC4)nc23)N1	True	O=C1NC(=O)C(=Cc2cnn3c(NC4CC4)nc(NCc4cccnc4N4CCOCC4)nc23)N1	2	1.0881686	0.7225999999999995
Cc1cc2ccccc2n1CCNC(=O)c1ccc(N2CCOCCO2)cc1C	True	Cc1cc(N2CCOCCO2)ccc1C(=O)NCCn1c(C)cc2ccccc21	2	3.0844064	3.4563400000000017
CS(=O)(=O)N1CCC(N(Cc2cccc(=O)[nH]c(=O)[nH]4)CCCCc4ccccn2)C1	True	CS(=O)(=O)N1CCC(N2CCCCc3ccccnc(cccc(=O)[nH]c(=O)[nH]3)C2)C1	2	1.751747	0.8792000000000018
N=C(O)c1ccc(N2CCCCCC2)c([N+](=O)[O-])c1	True	NC(=O)c1ccc(N2CCCCCC2)c([N+](=O)[O-])c1	2	2.6618857	2.858570000000001
NCC#Cc1ccccc1-c1cnon1	True	NCC#Cc1ccccc1-c1cnon1	2	1.6155801	1.0468000000000002
COC(=O)CCOc1ccc(NS(=O)(=O)C(F)(F)F)cc1	True	COC(=O)CCOc1ccc(NS(=O)(=O)C(F)(F)F)cc1	2	2.4326973	1.8899999999999997
O=C(NNC(=S)NC(=O)c1ccccc[nH]1)c1ccccc1	True	O=C(NC(=S)NNC(=O)c1ccccc1)C1=CC=CC=CN1	2	1.9061177	0.8790999999999991
