smiles	valid	nswcs	target_logp	predicted_logp	ground_truth_logp
O=c1cc(-c2ccccc2)oc2ccccccc12	True	O=c1cc(-c2ccccc2)oc2c1=CC=CC=CC=2	4	3.8529534	1.9938
CC(C)Cc1ccc(CNC(=O)C2CC(C)C)c(C)c(C(C)NCCCCC2)cc1	True	CC1=C2C=CC(CC(C)C)=CC=C1CNC(=O)C(CC(C)C)CCCCCNC2C	4	4.6872525	6.102200000000006
O=C(NCC1CCOCC1)c1ccccc1-c1cccc(Cl)c1	True	O=C(NCC1CCOCC1)c1ccccc1-c1cccc(Cl)c1	4	4.088516	4.163400000000004
CC(SCc1cccc2ccc2cccc2)c11C(=O)NC1C(O)CO2	True	CC1SCC2=CC=CC3=CC=C3C=CC=COCC(O)C3NC(=O)C213	4	3.8077593	2.4165
C=CCNOCCCCNCC(CC(=O)O)NC1C#CC1C(=C)O	True	C=CCNOCCCCNCC(CC(=O)O)NC1C#CC1C(=C)O	4	1.5748411	0.5698000000000014
CNC(=O)c1cccc2c(C3C(c4ccccn4)CCC3Cccc2)c1	True	CNC(=O)C1=CC=CC2=CC=CCC3CCC(c4ccccn4)C3C2=C1	4	3.7310405	4.246300000000004
CCCCCC=CCC=CCC=CCC=CCCCCCCCCCC(=O)NO	True	CCCCCC=CCC=CCC=CCC=CCCCCCCCCCC(=O)NO	4	8.5597105	7.9781000000000075
O=C(Nc1ccc(C1)N1CNCCc2ccccc2)CC1	True	O=C1CCN(CNCCc2ccccc2)C2=CC=C(C2)N1	4	3.5196395	1.7695999999999994
C1=CCNcCCC2(Cc3ccc(N3CC3CC3)CC2)CC1	True	C1=CCNCCCC2(CC1)CCc1ccc(n1CC1CC1)C2	4	3.5340657	4.0930000000000035
N#Cc1cccc(O)cccccc3nn3c2cccnc12	True	N#CC1=CC=CC(O)=CC=CC=CC2=NN2c2cccnc21	4	3.2533941	3.2461800000000007
Cc1cnc(NC(=S)CCn2c(=O)[nH]c3ccccc32)cc1	True	Cc1ccc(NC(=S)CCn2c(=O)[nH]c3ccccc32)nc1	4	2.8448782	2.8626200000000006
c1ccc(NCc2nc(CCCCNCC3)nccc3ccn2)s1	True	c1csc(NCc2nccc3ccnc(n2)CCCCNCC3)c1	4	3.5022388	3.1380000000000017
OCc1Nc2ccccc2C(NCCc2ccc(F)cc2)CC1	True	OCC1CCC(NCCc2ccc(F)cc2)c2ccccc2N1	4	3.0233946	3.2657000000000025
S=C(NCCCc1ccccc1)N1CCCCC1	True	S=C(NCCCc1ccccc1)N1CCCCC1	4	2.639299	2.9796000000000014
Fc1nc(N2CC2CC2)nc2ccccn1	True	Fc1nccccc2nc(n1)N1CC1CC2	4	1.6571914	1.2699
CC(CC(=O)NCCCCCCc2cc(Cl)c1)C(=O)N1c1cc2ccc1C(=O)O	True	CC1CC(=O)NCCCCCCC2=CC(Cl)=CN(C1=O)c1cc2ccc1C(=O)O	4	4.6945333	4.3015000000000025
Cc1ccc(Oc2ccc(C(=S)NNC)CSCC2)c(OF)c1	True	CNNC(=S)C1=CC=C(Oc2ccc(C)cc2OF)CCSC1	4	3.8463392	3.635720000000002
O=C(O)c1ccc2sc(Cc3ccno3)ccc12	True	O=C(O)c1ccc2sc(Cc3ccno3)ccc1-2	4	3.0718303	3.129900000000001
COC(=O)c1cn(C(=O)c2ccccc2)c(OCCc2ccccc2)c1C	True	COC(=O)c1cn(C(=O)c2ccccc2)c(OCCc2ccccc2)c1C	4	3.6982403	3.8931200000000032
O=S1(=O)NCC(c1c2ccc1c2C=Cc1ccccc1O)cc1	True	O=S1(=O)NCC2C=CC(O)=CC=CC=C3C=CC4=C3C=CC4=C21	4	3.7646513	2.720200000000001
O=C1C(Cl)NCCN1CCNc1ccc(Cl)cc1Cl	True	O=C1C(Cl)NCCN1CCNc1ccc(Cl)cc1Cl	4	3.0408888	2.402
O=[N+]([O-])c1ccc(C2=CNCC2)s1	True	O=[N+]([O-])c1ccc(C2=CNCC2)s1	4	1.9452854	1.9905
Nc1cnccc1-c1ccccc1	True	Nc1cnccc1-c1ccccc1	4	2.5239587	2.330800000000001
N#Cc1ccc(NC(=O)Nc2ccnc3ccccc23)cc1	True	N#Cc1ccc(NC(=O)Nc2ccnc3ccccc23)cc1	4	3.8600068	3.7504800000000014
O=C(OCc1ccccc1)c1nc2ccc(Cl)c(Cl)[nH]c12	True	O=C(OCc1ccccc1)c1nc2ccc(Cl)c(Cl)[nH]c1=2	4	3.53229	3.798280000000002
Oc1ccc(Cc2ccccc2)cccc1O	True	OC1=CC=CC(Cc2ccccc2)=CC=C1O	4	2.9839683	3.6091000000000024
O=C1NC(N2CCCCC2)Nc2ccccc21	True	O=C1NC(N2CCCCC2)Nc2ccccc21	4	2.1659422	1.6113999999999993
COc1ccccc1-c1ccc(C(=O)NCNCCCCO)C1O	True	COc1ccccc1C1=CC=C(C(=O)NCNCCCCO)C1O	4	2.006194	0.8152999999999992
Sc1cccc2ccccc12	True	Sc1cccc2ccccc12	4	2.9815545	3.1285000000000016
CC12CCC3c4ccc3OC=CCC(=O)C4CC32C1CCCC3	True	CC12CCC3C4=CC=C3C(CC13CCCCC23)C(=O)CC=CO4	4	4.1284304	4.926200000000005
Oc1ccccc1C1=CC(c2ccc(F)c(Cl)c2)C1	True	Oc1ccccc1C1=CC(c2ccc(F)c(Cl)c2)C1	4	4.077611	4.755600000000002
O=C(Nc1ccc(Cl)cc1)c1ccc2cccc2C1	True	O=C(Nc1ccc(Cl)cc1)C1=CC=C2C=CC=C2C1	4	4.340152	4.031200000000002
O=c1cc(NCCC2CCCO)oc2cccoc2ccccc12	True	O=C1C=C2NCCC(CCCO)C(=CC=COc3ccccc31)O2	4	3.55486	2.899300000000001
COc1ccc2c(c1)nc1ccc(C)cn12	True	COc1ccc2c(c1)nc1ccc(C)cn12	4	2.7844248	2.804520000000001
O=c1cc(-c2ccc3[nH]ccc3nc(N4CCCCC4)ccn2)cn1	True	O=C1C=C(c2ccc3[nH]ccc3nc(N3CCCCC3)ccn2)C=N1	4	2.9605103	3.067000000000001
CCOC(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)C)CCC(NC=C)CNC(=O)CCCC(C)(C)C	True	C=CNC(CCC(NC(=O)C(Cc1ccccc1)NC(=O)OCC)C(C)=O)CNC(=O)CCCC(C)(C)C	4	1.8533803	3.632100000000001
COc1ccc(OCC(O)CCCCCN(N)Cc2ccccc2)cc1	True	COc1ccc(OCC(O)CCCCCN(N)Cc2ccccc2)cc1	4	3.5332494	3.3712000000000018
CC1(F)CN(CCc1ccc(C(C)C1)F)C(=O)CC1	True	CC1CCCC(=O)N2CCC(=CC=C1F)C(C)(F)C2	4	3.020299	3.546700000000002
COc1ccccc1C(=O)NN1CCN(c2ccccn2)CC1	True	COc1ccccc1C(=O)NN1CCN(c2ccccn2)CC1	4	2.628677	1.5571999999999997
CCCC(CCC)c1nc(C)nc2ccncnc2n1	True	CCCC(CCC)C1=NC(C)=NC2=CC=NC=NC2=N1	4	2.6005497	3.4284000000000026
Cc1ccsc1N=Cc1nc(Cl)ncn1	True	Cc1ccsc1N=Cc1ncnc(Cl)n1	4	2.7721896	2.6455200000000003
CCCCCSC=CC(=O)O	True	CCCCCSC=CC(=O)O	4	2.244607	2.5080999999999998
CC(=O)c1ccc(C2CCCC(C)C2=Cc3ccc(Cl)cc3)cc1	True	CC(=O)c1ccc(C2CCCC(C)C2=Cc2ccc(Cl)cc2)cc1	4	5.088637	6.529800000000005
O=C(Nc1ccccc1NCCC1CC2CCCCCC2C1)C1CC1	True	O=C(Nc1ccccc1NCCC1CC2CCCCCC2C1)C1CC1	4	4.9319377	5.443600000000005
O=C(O)c1cc2ccc(NCc3cc(-c4cncnc4)n3)ccc2c1	True	O=C(O)c1cc2ccc(NCC3=CC(c4cncnc4)=N3)ccc-2c1	4	4.0374846	3.0783000000000014
CC(C)(C)c1ccc(COc2ccnccc3c(CO)(CC(=O)O3)c2)cc1	True	CC(C)(C)c1ccc(COC2=CC3(CO)CC(=O)OC3=CC=NC=C2)cc1	4	4.954249	3.792200000000003
CCCOc1ccc2SC(Cc2ccn1)c1CCCC1	True	CCCOC1=CC=C2SC(C3CCCC3)CC2=CC=N1	4	4.0907335	4.844800000000005
CC1(CCN2CCC1CC2)c1ccccc1	True	CC1(c2ccccc2)CCN2CCC1CC2	4	3.1938229	3.0600000000000014
CCNCCc1ccccc(NOCC(=O)Nc2ccccc2)cc1	True	CCNCCC1=CC=CC=C(NOCC(=O)Nc2ccccc2)C=C1	4	4.025446	3.082200000000001
NCCc1ccc(NC(=O)Nc2cccnc2Br)c(O)n1	True	NCCc1ccc(NC(=O)Nc2cccnc2Br)c(O)n1	4	3.3538709	2.0898999999999996
N=C(N)NC(=O)c1nc(Cl)ccc1C	True	Cc1ccc(Cl)nc1C(=O)NC(=N)N	4	0.7862448	0.6666900000000002
CCN=CCn1nc(Nc2ccc(Cl)cc2)CC1	True	CCN=CCN1CCC(Nc2ccc(Cl)cc2)=N1	4	3.184505	2.8618000000000015
COc1ccc2cc3ccc(Br)cc3c1CCC2	True	COC1=C2CCCC(=Cc3ccc(Br)cc32)C=C1	4	4.1072345	4.943700000000003
CC1=Cc2ccccc2N1Cc1ccccc1	True	Cc1cc2ccccc2n1Cc1ccccc1	4	3.5504484	3.998020000000003
OCCc1ccc(COc2ccc(I)cc2)c2c1CC2CCCCC	True	CCCCCC1Cc2c(CCO)ccc(COc3ccc(I)cc3)c21	4	5.4122252	5.625000000000004
Cc1ccc(CN)cc1	True	Cc1ccc(CN)cc1	4	1.8751265	1.45372
c1ccc(-c2nc3ccccccn3-c2)cc1	True	C1=CC=Cn2cc(-c3ccccc3)nc2C=C1	4	3.4821525	3.6038000000000023
CN(C)C1CCN(C(=O)c2ccc(Cl)cc2)c(C)CC1	True	CC1CCC(N(C)C)CCN1C(=O)c1ccc(Cl)cc1	4	3.1848707	3.2848000000000024
CNc1cccc2c(c3c(c2)OCO3)cc(C(C)(O)CO)ccc1Cc1ccc(F)cc1	True	CNc1cccc2cc3c(c-2cc(C(C)(O)CO)ccc1Cc1ccc(F)cc1)OCO3	4	4.70056	4.6159000000000034
Nc1cccc2ccccc12	True	Nc1cccc2ccccc12	4	2.41572	2.4220000000000006
N#Cc1cc(CCnccnc2c(OC2C)ccc2Br)cc12	True	CC1OC2=C1N=CC=NCCC1=CC(=C(Br)C=C2)C(C#N)=C1	4	3.6455278	3.7571800000000026
CC(C)CC(C(P)=O)(C)C(N)CC(=O)C	True	CC(=O)CC(N)C(C)(CC(C)C)C(=O)P	4	1.5651358	1.7469
CCCCCCCCC(C)CN1CC=C(C(N)=O)cc1	True	CCCCCCCCC(C)CN1C=CC(C(N)=O)=CC1	4	3.8156428	3.6141000000000014
COc1c(I)cc(C=2NCCc3cccc(O)cc3c2)cc1	True	COc1ccc(C2=C=C3C=C(O)C=CC=C3CCN2)cc1I	4	4.517563	4.097400000000002
O=S(=O)(NC1CCN(C)Oc2ccccc2)c2ccccc21	True	CN(CCC1NS(=O)(=O)c2ccccc21)Oc1ccccc1	4	2.8252134	2.3354999999999997
CC(=O)Nc1ccc(N)c2ccccc21	True	CC(=O)Nc1ccc(N)c2ccccc12	4	2.7400746	2.3804000000000007
Fc1ccc(Oc2ccccc2)n2ncsc2c1	True	FC1=CC=C(Oc2ccccc2)N2N=CSC2=C1	4	3.5832047	3.6073000000000013
O=C(O)c1ccc2c(c1)CN1CCCN1C2O	True	O=C(O)c1ccc2c(c1)CN1CCCN1C2O	4	1.8085313	0.812
CCCc1ccccc(OCCCCc3ccccc3)oc1=O	True	CCCC1=CC=CC=C(OCCCCc2ccccc2)OC1=O	4	3.9728947	4.706800000000005
Cc1[nH]c2ccc(Cl)c22c1-c1ccnc(NCc1CC(=O)O)C2	True	CC1=C2C3=C(CC(=O)O)CNC(=NC=C3)CC23C(Cl)=CC=C3N1	4	4.1711526	2.5606
COc1cc2c(cc1OC)CN1C(=O)c(-ccc(C)cnc2F)(C)C1	True	COc1cc2c(cc1OC)C(F)=NC=C(C)C=CC1(C)CN(C2)C1=O	4	3.855445	3.2420000000000018
COc1ccncc2nc3ccccccnc3C(CO)c2n1	True	COC1=CC=NC=C2N=C3C=CC=CC=CN=C3C(CO)C2=N1	4	2.2351446	1.9848000000000003
Cc1cc(C)c2c(c1sc(=O)C(C)C(NcC1nc(NC1CC2)O)C)C(=O)OCC(=O)O	True	Cc1cc(C)c2c(C(=O)OCC(=O)O)c1CCC1NC(O)=NC1CNC(C)C(C)C(=O)S2	4	2.5602188	1.97834
O=C(Nc1ccccc1)Nc1cc2ccccc2cn1	True	O=C(Nc1ccccc1)Nc1cc2ccccc2cn1	4	3.60506	3.878800000000002
Cc1ccnc(N)c1	True	Cc1ccnc(N)c1	4	1.3875748	0.9722200000000001
