smiles	valid	nswcs	target_logp	predicted_logp	ground_truth_logp
N#CC(=Cc1ccc(OCc2ccccc2)cc1)c1ccccc1	True	N#CC(=Cc1ccc(OCc2ccccc2)cc1)c1ccccc1	4	5.540042	5.329780000000004
Cc1nn(C)c(C)c1NS(=O)(=O)c1ccc(N2CCCCCN(O)CC2)nn1	True	Cc1nn(C)c(C)c1NS(=O)(=O)c1ccc(N2CCCCCN(O)CC2)nn1	4	1.1292593	1.30924
CC(C)(Cc1ccc(Cl)c(OO)c(Oc2ccccc2O)cc1)C(=O)O	True	CC(C)(CC1=CC=C(Cl)C(OO)=C(Oc2ccccc2O)C=C1)C(=O)O	4	4.6019044	4.592000000000004
N#Cc1ccc2c(c1)CCCCCc1ccc(F)c(O)c(NC(=O)N2C(N)=C)CC1	True	C=C(N)N1C(=O)NC2=C(O)C(F)=CC=C(CCCCCc3cc(C#N)ccc31)CC2	4	3.3838384	4.963880000000003
CC(C(=O)NO)N(Cc1ccccc1[N+](=O)[O-])S(=O)(=O)c1ccc(Br)cc1	True	CC(C(=O)NO)N(Cc1ccccc1[N+](=O)[O-])S(=O)(=O)c1ccc(Br)cc1	4	2.2070389	2.442099999999999
FC(F)(F)c1ccc(Cl)cc1C2Cc1c[nH]c2c1	True	FC(F)(F)c1ccc(Cl)cc1C1Cc2c[nH]c1c2	4	4.5786314	4.374900000000002
O=S(=O)(Nc1ccccn1)c1ccc(-c2ccc(C(F)(F)F)cn2)nc1-c1ccc(F)cc1O	True	O=S(=O)(Nc1ccccn1)c1ccc(-c2ccc(C(F)(F)F)cn2)nc1-c1ccc(F)cc1O	4	5.3446846	4.869900000000003
O=C(COC(=O)c1ccccc1)c1ccccc1	True	O=C(COC(=O)c1ccccc1)c1ccccc1	4	2.505685	2.726300000000001
N=C(N)NCCCC(NS(=O)(=O)Cc1ccccc1)C(=O)N1CCCCCC(C1)NC(=O)OCc1ccccc1	True	N=C(N)NCCCC(NS(=O)(=O)Cc1ccccc1)C(=O)N1CCCCCC(NC(=O)OCc2ccccc2)C1	4	1.3622962	2.4354700000000014
COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc21	True	COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc21	4	4.0873585	3.8868000000000027
CCCCCCCCCCCP(=O)(O)O	True	CCCCCCCCCCCP(=O)(O)O	4	3.9230893	3.694900000000004
CC(=O)Nc1ccc2c(c1)C(=Cc1ccc(C(=O)O)cc2)n1C	True	CC(=O)Nc1ccc2ccc(C(=O)O)ccc3cc(c2c1)n3C	4	3.0804543	3.550300000000002
O=c1c2ccccc2nc2cccc12	True	O=C1C2=CC=CC2=Nc2ccccc21	4	2.4183073	2.451600000000001
COC1(CCC=C(C)C(C)NCCOC)C(Cc1cccc(c(C(N)=O)cc1)CCC=O)C1	True	COCCNC(C)C(C)=CCCC1(OC)C2=CC=CC(CCC=O)=C(C(N)=O)C=CCC1C2	4	3.606998	3.9460000000000024
Cc1nc(NC(C)Cc2ccc(C)cc2)cc(CCC(C)c2ccccc2)n1	True	Cc1ccc(CC(C)Nc2cc(CCC(C)c3ccccc3)nc(C)n2)cc1	4	5.2463737	5.872840000000006
c1ccc(-c2ccccc2-c2ccc(-c3cn[nH]c3)cc2)cc1	True	c1ccc(-c2ccccc2-c2ccc(-c3cn[nH]c3)cc2)cc1	4	4.690134	5.410700000000004
Nc1nn(-c2ccccc2)c(N)c1N=Nc1ccccc1	True	Nc1nn(-c2ccccc2)c(N)c1N=Nc1ccccc1	4	3.0650992	3.4521000000000015
CCOc1ccc(N2CCC(Oc3ccc(C(C)NC(C)=O)cc3)C2)n(C)cc1	True	CCOC1=CC=C(N2CCC(Oc3ccc(C(C)NC(C)=O)cc3)C2)N(C)C=C1	4	4.0723066	3.5577000000000023
O=C1c2ccccc2-c2nccc(Oc3ccc(Cl)cc3)c21	True	O=C1c2ccccc2-c2nccc(Oc3ccc(Cl)cc3)c21	4	4.353713	4.738700000000002
CCn1c(C)c(C(=O)Nc2ccccc2C(=O)C)c(C)c1C	True	CCn1c(C)c(C)c(C(=O)Nc2ccccc2C(C)=O)c1C	4	3.8349824	3.8881600000000027
Cc1noc(NCc2ccncc2)c1C(=O)Nc1ccc(C(F)(F)F)cc1	True	Cc1noc(NCc2ccncc2)c1C(=O)Nc1ccc(C(F)(F)F)cc1	4	4.574756	4.2612200000000025
