smiles	valid	nswcs	target_num_rings	predicted_num_rings	ground_truth_num_rings
C=CCNC(=O)OCCCCOCCCCCC=CCCCOC	True	C=CCNC(=O)OCCCCOCCCCCC=CCCCOC	0	-0.2570576	0
CCCCC(NC(=O)OC(CC(C)C(C(C)=O)(C)CCC(N)C)=O)N(C)C	True	CCCCC(NC(=O)OC(=O)CC(C)C(C)(CCC(C)N)C(C)=O)N(C)C	0	0.09559822	0
CCCCCCCCCCCCC(O)C(=O)NC(=O)CSCC(=O)O	True	CCCCCCCCCCCCC(O)C(=O)NC(=O)CSCC(=O)O	0	-0.0012816191	0
CNC(=O)C(C)NC(=O)CC(CCCNC(=O)OC(C)(C)C)CCNC(=O)O	True	CNC(=O)C(C)NC(=O)CC(CCCNC(=O)OC(C)(C)C)CCNC(=O)O	0	-0.033746123	0
C=C(CCC12OC(C(CC)O)C(O)(C(=O)O)C(C(=O)O)(O1)C(OC(=O)C=CC(C)CC(C)CC)C2O)C(OC(C)=O)C(C)Cc1ccccc1	True	C=C(CCC12OC(C(O)CC)C(O)(C(=O)O)C(C(=O)O)(O1)C(OC(=O)C=CC(C)CC(C)CC)C2O)C(OC(C)=O)C(C)Cc1ccccc1	0	2.8990204	3
CC(C)=CCCC(C)=CCCC(C)=CCCCP(=O)(O)CP(=O)(O)O	True	CC(C)=CCCC(C)=CCCC(C)=CCCCP(=O)(O)CP(=O)(O)O	0	-0.33764368	0
CN(C(=O)C(CC(O)C([N+](=O)[O-])O)NC(=O)O)C(C)	True	CCN(C)C(=O)C(CC(O)C(O)[N+](=O)[O-])NC(=O)O	0	0.09988409	0
CCCCCCCCCCCCCCCCCCCCCCC(=O)O	True	CCCCCCCCCCCCCCCCCCCCCCC(=O)O	0	-0.25098366	0
CCCCCCCCCC(=O)NC(CCCNC(=O)NCCC(N)C)C	True	CCCCCCCCCC(=O)NC(C)CCCNC(=O)NCCC(C)N	0	-0.13232476	0
CC(C)CC(NC(=O)OC(C)(C)C)C(=O)NCCCCC(=O)NC(C(=O)O)C(=O)CCC(=O)	True	CC(C)CC(NC(=O)OC(C)(C)C)C(=O)NCCCCC(=O)NC(C(=O)O)C(=O)CCC=O	0	-0.0051116347	0
CCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCCCCC)NC(=O)C(CC(=O)O)C(=O)O	True	CCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCCCCC)NC(=O)C(CC(=O)O)C(=O)O	0	0.028300405	0
CCOP(=O)(=CC)=CCCCCCC(N)C(=O)OC(C)CC	True	CC=P(=O)(=CCCCCCC(N)C(=O)OC(C)CC)OCC	0	0.06804037	0
CCC(CC)(NC(=O)C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC	True	CCC(CC)(NC(=O)C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC	0	-0.2648722	0
CCCCCCNC(=O)P(=O)(O)O	True	CCCCCCNC(=O)P(=O)(O)O	0	-0.06137848	0
CCCCCC=CCC=CCC=CC=CC(CCCC(=O)O)C(=O)NC	True	CCCCCC=CCC=CCC=CC=CC(CCCC(=O)O)C(=O)NC	0	-0.14570898	0
CC(C)=CCCC(C)=CCCC(C)=CCCCC(P(=O)(O)O)S(=O)(=O)O	True	CC(C)=CCCC(C)=CCCC(C)=CCCCC(P(=O)(O)O)S(=O)(=O)O	0	-0.40137237	0
CCCCCCCCC=CCCCCCCCCCCCC(=O)O	True	CCCCCCCCC=CCCCCCCCCCCCC(=O)O	0	-0.26263088	0
CCC(C)C(NC(=O)OC(C)(C)C)C(=O)NCCCC(CC)C(=O)O	True	CCC(CCCNC(=O)C(NC(=O)OC(C)(C)C)C(C)CC)C(=O)O	0	-0.053777993	0
COC(=O)CCCC(=O)NC(CC(=O)O)CSCO	True	COC(=O)CCCC(=O)NC(CSCO)CC(=O)O	0	-0.00769192	0
CC(C)CC(C=O)NC(=O)C(CC(C)C)NC(=O)C(C)C(N)=O	True	CC(C)CC(C=O)NC(=O)C(CC(C)C)NC(=O)C(C)C(N)=O	0	-0.16938883	0
CCCCCCCCCCCC(CC1OC(=O)C(CCCCCC)OC(=O)C(C)(C)C)CC(O)N(O)C1	True	CCCCCCCCCCCC1CC(OC(=O)C(CCCCCC)OC(=O)C(C)(C)C)CN(O)C(O)C1	0	0.35331482	1
CCC(C)C(NC(=O)OC(C)(C)C)C(=O)NCCCC(=O)O	True	CCC(C)C(NC(=O)OC(C)(C)C)C(=O)NCCCC(=O)O	0	-0.1501646	0
CC(Cl)(Cl)C(NC(=O)c1ccc(Br)cc1)NC(=NC#N)Nc1ccc(C(F)(F)F)nc1	True	CC(Cl)(Cl)C(NC(=O)c1ccc(Br)cc1)NC(=NC#N)Nc1ccc(C(F)(F)F)nc1	0	1.9660602	2
CC(CCSCCCCP(=O)(O)O)C(=O)O	True	CC(CCSCCCCP(=O)(O)O)C(=O)O	0	-0.05798018	0
CCCCCCCCCCCC(=O)NCC(P(=O)(O)O)S(=O)(=O)O	True	CCCCCCCCCCCC(=O)NCC(P(=O)(O)O)S(=O)(=O)O	0	-0.19939643	0
CCCCCCCCCCCCCCCC(=C(C)C(OC(=O)OC(C)=C)C(C)O)C(=O)O	True	C=C(C)OC(=O)OC(C(C)=C(CCCCCCCCCCCCCCC)C(=O)O)C(C)O	0	-0.26824933	0
NC(CCP(=O)(O)C(O)c1ccc(SCC(=O)O)c([N+](=O)[O-])c1)C(=O)O	True	NC(CCP(=O)(O)C(O)c1ccc(SCC(=O)O)c([N+](=O)[O-])c1)C(=O)O	0	1.0155919	1
CCCCC(CC(C)C(C(=O)O)C(=O)O)C(C)C(=O)O	True	CCCCC(CC(C)C(C(=O)O)C(=O)O)C(C)C(=O)O	0	-0.027200758	0
C=CCNC(=O)OCC#CCCCCCCCCCC(=O)OC	True	C=CCNC(=O)OCC#CCCCCCCCCCC(=O)OC	0	-0.3019809	0
CCC(C)C(NC(=O)OC(C)(C)C)C(=O)NCCCC(C)NCC	True	CCNC(C)CCCNC(=O)C(NC(=O)OC(C)(C)C)C(C)CC	0	-0.08730984	0
