smiles	valid	nswcs	target_num_rings	predicted_num_rings	ground_truth_num_rings
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)CC)C2O)C2(C)CC(C)=C(O2)C(C)C(=O)C1(C)O	True	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)CC)C2O)C2(C)CC(C)=C(O2)C(C)C(=O)C1(C)O	1	3.6844115	4
CCCCCCNC(=O)C(C#N)=Cc1ccc(O)cc1	True	CCCCCCNC(=O)C(C#N)=Cc1ccc(O)cc1	1	0.9042585	1
COc1cc(N)c(Cl)cc1C(=O)CCCCCCN(CCCCC)C(=O)N	True	CCCCCN(CCCCCCC(=O)c1cc(Cl)c(N)cc1OC)C(N)=O	1	1.6139042	1
O=C(O)CCCSCCN1C(=O)CCC1C=CC(O)Cc1cccc(Cl)c(Cl)cc1	True	O=C(O)CCCSCCN1C(=O)CCC1C=CC(O)CC1=CC=CC(Cl)=C(Cl)C=C1	1	1.8757026	2
CC(Cc1ccc(N)cc1)C(C(O)P(=O)(O)O)	True	CC(Cc1ccc(N)cc1)CC(O)P(=O)(O)O	1	0.79837745	1
CCCCC1NC(=O)OCCCCCC(=O)NCCCC(C)C(=O)OC1	True	CCCCC1COC(=O)C(C)CCCNC(=O)CCCCCOC(=O)N1	1	0.72018373	1
COc1ccc(S(=O)(=O)NC(CCCNC(=O)NC(C)=O)C(CC(=O)C)CC(=O)O)cc1	True	COc1ccc(S(=O)(=O)NC(CCCNC(=O)NC(C)=O)C(CC(C)=O)CC(=O)O)cc1	1	0.93049717	1
CN(C)CCCCCCCC(=O)NCc1ccc(Cl)cc1	True	CN(C)CCCCCCCC(=O)NCc1ccc(Cl)cc1	1	1.1778777	1
CC(C)CCNC(=O)C(C)NC(=O)CC(O)C(CC(C)F)NC(=O)C(NC1=C)CC1	True	C=C1CCC(C(=O)NC(CC(C)F)C(O)CC(=O)NC(C)C(=O)NCCC(C)C)N1	1	0.5527214	1
CCCCCCCCCCCCCCCCCCOP(=O)(O)CNC(=O)c2ccc([N+](=O)[O-])cc2CC=O	True	CCCCCCCCCCCCCCCCCCOP(=O)(O)CNC(=O)c1ccc([N+](=O)[O-])cc1CC=O	1	1.38309	1
NS(=O)(=O)c1ccc(CSC(=O)NCC(=O)O)c(I)c1	True	NS(=O)(=O)c1ccc(CSC(=O)NCC(=O)O)c(I)c1	1	0.88974	1
CCCCCCCCCCCCC=CC(=O)CC(CCC=C)N(CC(C)C)CCC(CCC)C(=O)NCc1ccccn1	True	C=CCCC(CC(=O)C=CCCCCCCCCCCCC)N(CCC(CCC)C(=O)NCc1ccccn1)CC(C)C	1	0.97117054	1
CC(C)CCC(=O)NC(CC(O)NC(=O)CCCCCCCCC1=O)CC1	True	CC(C)CCC(=O)NC1CCC(=O)CCCCCCCCC(=O)NC(O)C1	1	0.93572444	1
CN(CC(=O)NCc1ccc(Cl)cc1)C(=O)O	True	CN(CC(=O)NCc1ccc(Cl)cc1)C(=O)O	1	1.0100813	1
