smiles	valid	nswcs	target_num_rings	predicted_num_rings	ground_truth_num_rings
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)CC)C2O)C2(C)CC(C)=C(O2)C(C)C(=O)C1(C)O	True	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)CC)C2O)C2(C)CC(C)=C(O2)C(C)C(=O)C1(C)O	1	3.6844115	4
CCc1ccc(NC(=S)NC(CC(C)C)C(=O)N(C)C)cc1	True	CCc1ccc(NC(=S)NC(CC(C)C)C(=O)N(C)C)cc1	1	0.9657788	1
NS(=O)(=O)c1nnc(NC(=O)CSc2ccccc2Br)cc1	True	NS(=O)(=O)c1ccc(NC(=O)CSc2ccccc2Br)nn1	1	2.0729742	2
CC(C)CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)OCCC	True	CCCOC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(C)C	1	2.0074043	2
NC(C)C(OP(=O)(O)O)CC1=C(OCC1NC(=O)NCc1ccccc1)C(=O)O	True	CC(N)C(CC1=C(C(=O)O)OCC1NC(=O)NCc1ccccc1)OP(=O)(O)O	1	1.8314803	2
CSCCC(C#N)NC(=O)C(CC(C)C)NC(=O)c1ccccc1	True	CSCCC(C#N)NC(=O)C(CC(C)C)NC(=O)c1ccccc1	1	0.7979903	1
CC(=O)c1ccc2c(c1)NCO2	True	CC(=O)c1ccc2c(c1)NCO2	1	1.9097214	2
O=C(NCCCc1cc(Cl)ccc(O)c(O)c1)NC(=O)CC(=O)O	True	O=C(O)CC(=O)NC(=O)NCCCC1=CC(Cl)=CC=C(O)C(O)=C1	1	1.4307339	1
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)Nc2nncs2)cccc1	True	CCCN(CCC)S(=O)(=O)C1=CC=C(C(=O)Nc2nncs2)C=CC=C1	1	2.1496027	2
O=C(O)c1ccc(-c2ccccc2C(=O)O)o1	True	O=C(O)c1ccc(-c2ccccc2C(=O)O)o1	1	1.9421313	2
CN(C)CCNc1[nH]nc(C)c(C#N)cc1	True	CC1=NNC(NCCN(C)C)=CC=C1C#N	1	1.5632558	1
CCN(CC)CCCN(C)c1ccc(Nc2cccccc([N+](=O)[O-])c2)cc1	True	CCN(CC)CCCN(C)c1ccc(NC2=CC=CC=CC([N+](=O)[O-])=C2)cc1	1	2.176615	2
CCOC(=O)NCCCC=COc1ccc(N)cc1CCC(=O)NOC	True	CCOC(=O)NCCCC=COc1ccc(N)cc1CCC(=O)NOC	1	1.1810598	1
CC(C)CC(CC(=O)NO)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCCSc1ccncc1	True	CC(C)CC(CC(=O)NO)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCCSc1ccncc1	1	2.6785903	3
CC1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=C(C)C(N)=N1	True	CC1=CC(C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C1N	1	2.8141763	3
CCCCCCCCCCCC(=O)OCC(=O)C(CNC(=O)O)NC(=O)OCc1ccccc1	True	CCCCCCCCCCCC(=O)OCC(=O)C(CNC(=O)O)NC(=O)OCc1ccccc1	1	0.71836466	1
CC1(C)N=C(N)N=C(N)N1c1cccc(OC)c1	True	COc1cccc(N2C(N)=NC(N)=NC2(C)C)c1	1	1.9550772	2
CN(N)C(=O)Nc1ccc([N+](=O)[O-])cc1O	True	CN(N)C(=O)Nc1ccc([N+](=O)[O-])cc1O	1	0.8800586	1
CN(CCC(=O)NOCc1cc(C(F)(F)F)c1)CCCCCC(=O)O	True	CN(CCCCCC(=O)O)CCC(=O)NOCC1=CC(C(F)(F)F)=C1	1	1.2479877	1
CC(C)(C)CCN1CCCC(CC(=O)Nc2ccc(F)cc2)NC1=O	True	CC(C)(C)CCN1CCCC(CC(=O)Nc2ccc(F)cc2)NC1=O	1	1.9555798	2
Cc1cc(N)nc(C)c1CNC(=O)c1cnn(Cc2cc3ccccc3o2)c1	True	Cc1cc(N)nc(C)c1CNC(=O)c1cnn(Cc2cc3ccccc3o2)c1	1	3.7966688	4
CCC(Cc1ccc(O)cc1)N1CCC(O)(C(O)(C)C)cc1OO	True	CCC(Cc1ccc(O)cc1)N1CCC(O)(C(C)(C)O)C=C1OO	1	1.6756175	2
CN(C)CCCCC(NC(=O)NCC1CN1C(=O)O)C(C)=O	True	CC(=O)C(CCCCN(C)C)NC(=O)NCC1CN1C(=O)O	1	1.0207845	1
CCCN(CCCCCCC)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)1	True	CCCCCCCN(CCC)NC(=O)C1=CC=C1c1noc(C(F)(F)F)n1	1	2.0664103	2
CCCCN(CC)c1cc(C)nc2c1NC(=O)CN2c1ccc(OC)nc1CCN	True	CCCCN(CC)c1cc(C)nc2c1NC(=O)CN2c1ccc(OC)nc1CCN	1	2.9941854	3
COC(=O)CCC(NC(=O)CCOCCCOc2ccc(Cl)cc2)C(C)CCCCSCN=O	True	COC(=O)CCC(NC(=O)CCOCCCOc1ccc(Cl)cc1)C(C)CCCCSCN=O	1	1.8313475	1
CCCCOC(=O)c1ccC(=CNC(=O)Nc2ccc(Cl)c(Cl)c2)n1	True	CCCCOC(=O)C1=NC(=CNC(=O)Nc2ccc(Cl)c(Cl)c2)C=C1	1	1.912864	2
CCOC(=O)C(NCC(=O)C(Cc1ccccc1)NS(=O)(=O)c2ccc(C)cc2)C1C(=O)NC(CC(N)=C)C(C)C1	True	C=C(N)CC1NC(=O)C(C(NCC(=O)C(Cc2ccccc2)NS(=O)(=O)c2ccc(C)cc2)C(=O)OCC)CC1C	1	3.2081103	3
CCCCc1cc(NCCC(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1=O	True	CCCCC1=CC(NCCC(=O)Nc2ccc(S(N)(=O)=O)cc2)=CC1=O	1	1.9618759	2
O=C(NC1CCCC1Nc1cnc(C(F)(F)F)cn1)c1cc(F)ccc1-n1cccn1	True	O=C(NC1CCCC1Nc1cnc(C(F)(F)F)cn1)c1cc(F)ccc1-n1cccn1	1	3.9099646	4
N#CCNCc1cc(C(F)(F)F)c1F	True	N#CCNCC1=CC(C(F)(F)F)=C1F	1	0.98722553	1
O=C(NCCNc1ccccc1)c1ccccc1	True	O=C(NCCNc1ccccc1)c1ccccc1	1	2.0043597	2
C#CCN(C)CC(=C)c1ccc(F)c(C)c1	True	C#CCN(C)CC(=C)c1ccc(F)c(C)c1	1	1.0548164	1
CCOc1ccc(F)c11CCC(Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1	True	CCOC1=CC=C(F)C12CCC(Cl)C(=O)N2Cc1ccc(OC(F)(F)F)cc1	1	2.847527	3
CCN(CC)c1ccc(NC(=O)c2cnc(C(F)(F)F)cc(Cl)cn2)cn1	True	CCN(CC)c1ccc(NC(=O)C2=CN=C(C(F)(F)F)C=C(Cl)C=N2)cn1	1	2.286523	2
CC#CC(CC(=O)O)c1ccc(OCC2COCC2)cc1	True	CC#CC(CC(=O)O)c1ccc(OCC2CCOC2)cc1	1	1.9330084	2
O=C(COc1cccc(BI)c1)c1nc2ccccc2[nH]1	True	O=C(COc1cccc(BI)c1)c1nc2ccccc2[nH]1	1	2.8359253	3
CCN(CC)CCOc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)ccn1C	True	CCN(CC)CCOC1=CC=C(NC(=O)c2cccc(C(F)(F)F)c2)C=CN1C	1	2.2392912	2
CCC(=O)CC(NS(=O)(=O)c1ccc(O)cc1)C=C(N)CC(=O)NOCC(=O)N	True	CCC(=O)CC(C=C(N)CC(=O)NOCC(N)=O)NS(=O)(=O)c1ccc(O)cc1	1	1.1051178	1
NCC1CC1c1ccccc1O	True	NCC1CC1c1ccccc1O	1	1.7008445	2
N#CC1CCCN1C(=O)CNC(=O)Cc1c[nH]cn1	True	N#CC1CCCN1C(=O)CNC(=O)Cc1c[nH]cn1	1	1.9006958	2
Cc1ccc(S(=O)(=O)Nc2nc(C)nc(S)ncc2N)cc1	True	CC1=NC(S)=NC=C(N)C(NS(=O)(=O)c2ccc(C)cc2)=N1	1	2.22579	2
O=C(c1ccc(Cl)cc1)N1CCNCC1	True	O=C(c1ccc(Cl)cc1)N1CCNCC1	1	1.9224439	2
COCCN(C)C1=C(C(=O)OC(C)(C)C)C(O)C(F)(F)C1O	True	COCCN(C)C1=C(C(=O)OC(C)(C)C)C(O)C(F)(F)C1O	1	0.97252786	1
CNc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccccc1	True	CNc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccccc1	1	2.9080167	3
CCCCCCCCC=CCCCCCCCC(=O)NCc1ccc(C)cc(C)cc1	True	CCCCCCCCC=CCCCCCCCC(=O)NCC1=CC=C(C)C=C(C)C=C1	1	0.78161216	1
CCC(C)C(NC(C)=O)C(=O)NC(C(=O)NC(C)C(=O)NC(C)C(=O)NCCCC(C)C)C(O)CC	True	CCC(C)C(NC(C)=O)C(=O)NC(C(=O)NC(C)C(=O)NC(C)C(=O)NCCCC(C)C)C(O)CC	1	-0.31142074	0
