smiles	valid	nswcs	target_num_rings	predicted_num_rings	ground_truth_num_rings
O=C(O)c1ccc(CNC(=O)C2=C(C)C2N(N)c2cc3ccccc32)C1=O	True	CC1=C(C(=O)NCC2=CC=C(C(=O)O)C2=O)C1N(N)C1=Cc2ccccc21	5	3.4577324	4
O=C1OC2=CC1NC1=C2CN1	True	O=C1OC2=CC1NC1=C2CN1	5	3.1241302	3
O=C(Nc1ccc(O)c(ccc(F)cc1)c1CC(=O)N2CC3CC(CO)3c3cc(F)c23)c1	True	O=C1C=C(CC(=O)N2CC3CC3(CO)C3=CC(F)=C32)c2ccc(F)ccc(ccc2O)N1	5	5.442201	5
Cn1nccc1-c1ccc(NC(=O)C2C(OCN3CCCN3)ccccc1n1)CCc1cncccccs2	True	Cn1nccc1C1=CC=C2CCC3=CN=CC=CC=CSC(C(=O)N2)C(OCN2CCCN2)C=CC=CC1=N3	5	5.8947034	5
COc1ccnc(O)cc1=O	True	COc1ccnc(O)cc1=O	5	1.1068351	1
OCC(NC(=O)c1cc(C(=O)NCCCC)c1nnnc(C2)c1)n2c1Nc1cnccc1	True	CCCCNC(=O)C1=C2N=NN=C3C=C(Nc4cccnc4)N(C3)C(CO)NC(=O)C2=C1	5	4.2927275	4
N#Cc1cccc(O)cccccc3nn3c2cccnc12	True	N#CC1=CC=CC(O)=CC=CC=CC2=NN2c2cccnc21	5	3.6201336	3
c1ccc(NCc2nc(CCCCNCC3)nccc3ccn2)s1	True	c1csc(NCc2nccc3ccnc(n2)CCCCNCC3)c1	5	3.4982607	3
NCc1ccncOccn1	True	NCc1ccncoccn1	5	1.287065	1
OCc1Nc2ccccc2C(NCCc2ccc(F)cc2)CC1	True	OCC1CCC(NCCc2ccc(F)cc2)c2ccccc2N1	5	3.041063	3
S=C(NCCCc1ccccc1)N1CCOCC1	True	S=C(NCCCc1ccccc1)N1CCOCC1	5	1.9265385	2
Oc1nc2ccccc2c2ncccc2nc1CC1CCCCC1	True	OC1=Nc2ccccc2-c2ncccc2N=C1CC1CCCCC1	5	4.1166406	4
O=C(O)c1ccc2sc(Cc3ccno3)ccc12	True	O=C(O)c1ccc2sc(Cc3ccno3)ccc1-2	5	3.170426	3
C=CNc1ccccc1-c1cc2ccn(-c3ccccc3)ncc12	True	C=CNc1ccccc1-c1cc2ccn(-c3ccccc3)ncc1=2	5	4.307791	4
Cc1ccccc1CC(=NNC(=O)NC1c2ccccc2OC)cc1	True	COc1ccccc1C1C=CC(Cc2ccccc2C)=NNC(=O)N1	5	2.7741392	3
O=S1(=O)NCC(c1c2ccc1c2C=Cc1ccccc1O)cc1	True	O=S1(=O)NCC2C=CC(O)=CC=CC=C3C=CC4=C3C=CC4=C21	5	3.7324998	4
CCc1ccc(N(C)C(=O)c2ccc3ccccc3n2)cc1	True	CCc1ccc(N(C)C(=O)c2ccc3ccccc3n2)cc1	5	3.1960988	3
COc1cccc2c1CCC(C)C(C)C2C	True	COc1cccc2c1CCC(C)C(C)C2C	5	2.2188244	2
Oc1nc(CCc2ccc(F)cc2)c2ccc(O)ncCc12	True	OC1=CC=C2C(CCc3ccc(F)cc3)=NC(O)=C2CC=N1	5	3.0923567	3
CCCCOc1ccc2c1c1Cn1nc(c1)c1c(=O)OCO2	True	CCCCOC1=CC=C2OCOC(=O)C3=CC3=NN3CC3=C12	5	3.3382874	4
O=C(NC1CN2CCC1CC2)c1ccccc1	True	O=C(NC1CN2CCC1CC2)c1ccccc1	5	4.0124784	4
Nc1ccc(-c2ccccc2)c2ccc(-c3cncc(C3C(N)=O)c2)cc1	True	NC(=O)C1C2=Cc3ccc(ccc(N)ccc3-c3ccccc3)C1=CN=C2	5	4.1575165	4
O=C(O)CCC(=O)NOc1cccc(-c2ccc(C2F)c2)c2ccccc1O	True	O=C(O)CCC(=O)NOC1=C(O)C=CC=CC2=CC3=CC=C(C2=CC=C1)C3F	5	2.733863	3
Nc1cnccc1-c1ccccc1	True	Nc1cnccc1-c1ccccc1	5	2.3147953	2
N#Cc1cc(-c2cc(-c3cccnc3)co2)c1	True	N#CC1=CC(c2cc(-c3cccnc3)co2)=C1	5	2.8675547	3
O=C(NCc1ncc(NCCC2)[nH]n1-c1ccc(Br)c2ccccccn1)-c1ccccc1	True	O=C(NCC1=NC=C2NCCCC3=CC=CC=CC=NC(=CC=C3Br)N1N2)c1ccccc1	5	4.873138	4
O=C(OCc1ccccc1)Nn1cnc2ccn(Cc3c(Cl)ccc23)cc1	True	O=C(NN1C=CN2C=CC(=C3C=CC(Cl)=C3C2)N=C1)OCc1ccccc1	5	4.129516	4
Oc1ccc(Cc2ccccc2)cccc1O	True	OC1=CC=CC(Cc2ccccc2)=CC=C1O	5	2.2770529	2
Cc1cc(CSc2ccccc2c2c(NC2))cs1	True	Cc1cc(CSc2ccccc2C2=CNC2)cs1	5	2.4443643	3
Sc1nccc2ccccc12	True	Sc1nccc2ccccc12	5	2.1808903	2
Cc1c(CNOCC2)c2cc2nc2Sc2ccnn(CSCc3cc(C)ncc3o2)c1C	True	CC1=C(C)N2CSCc3cc(C)ncc3OC(=CC=N2)SC2=NC2=CC2=C1CNOCC2	5	4.541507	5
COc1ccc2c(c1)nc1ccc(C)cn12	True	COc1ccc2c(c1)nc1ccc(C)cn12	5	2.9589179	3
O=C(c1ccnc(n1)c1cc(Br)cc2n1)c1ccccc12	True	O=C1c2ccnc(n2)-c2cc(Br)cc(n2)-c2ccccc21	5	3.8498988	4
COc1ccc(OCC(O)CCCCCN(N)Cc2ccccc2)cc1	True	COc1ccc(OCC(O)CCCCCN(N)Cc2ccccc2)cc1	5	2.1915317	2
Nc1ccc(Cl)cc1Cc1ccccc1F	True	Nc1ccc(Cl)cc1Cc1ccccc1F	5	1.966562	2
N#Cc1cccn[nH]ccc1Cl	True	N#Cc1cccn[nH]ccc1Cl	5	1.5148087	1
Cn1cc(C)c2nc(NC(=O)c3ccccc4cnoc4sc3n2)cc1	True	CC1=CN(C)C=CC2=NC1=Nc1sc3oncc3ccccc1C(=O)N2	5	4.552572	4
Fc1ccc(OCCCc2ccc(C3CCNCC3)cc2)cc1	True	Fc1ccc(OCCCc2ccc(C3CCNCC3)cc2)cc1	5	3.118927	3
O=Cc1cnc2cccccccc2[nH]1	True	O=Cc1cnc2cccccccc-2[nH]1	5	2.4813519	2
COC(=O)c1cncc(COCC2=COC(CN2C(=O)COc3ccccc3C)n1)c1ccccc1	True	COC(=O)C1=NC2CN(C(=O)COc3ccccc3C)C(=CO2)COCC(c2ccccc2)=CN=C1	5	4.3528023	5
Cc1cn(C)c2cc(C(=O)O)ccc(C3CC4CCC3C4)c2n1	True	CC1=CN(C)C2=CC(C(=O)O)=CC=C(C3CC4CCC3C4)C2=N1	5	4.066026	4
Fc1ccc(-n2cc(N3CCNCCCCC3)nc2)cc1F	True	Fc1ccc(-n2cnc(N3CCCCCNCC3)c2)cc1F	5	3.7129958	3
O=C(O)c1cc2ccc(NCc3cc(-c4cncnc4)n3)ccc2c1	True	O=C(O)c1cc2ccc(NCC3=CC(c4cncnc4)=N3)ccc-2c1	5	4.102168	4
