smiles	valid	nswcs	target_num_rings	predicted_num_rings	ground_truth_num_rings
CCCC(NC(=O)C1C2CC2C1C(CO)N(NC(=O)CCNC(=O)C(C)(C)C)C(C)(C)C)C(=O)C(=O)NCC(=O)NC(C(=O)N(C)C)c1ccccc1	True	CCCC(NC(=O)C1C2CC2C1C(CO)N(NC(=O)CCNC(=O)C(C)(C)C)C(C)(C)C)C(=O)C(=O)NCC(=O)NC(C(=O)N(C)C)c1ccccc1	None	3.175166	3
COc1ccc(CN(C)C)Oc2c(CCCCN(S(=O)(=O)c3ccc(C)cc3)CC2)cc1O	True	COc1ccc(CN(C)C)oc2c(cc1O)CCCCN(S(=O)(=O)c1ccc(C)cc1)CC2	None	3.2591553	3
COc1ccccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2	True	COc1ccccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2	None	4.9350877	5
O=C(O)c1[nH]c2ccccc2c1CCCOc1ccc(Cl)c2ccccc12	True	O=C(O)c1[nH]c2ccccc2c1CCCOc1ccc(Cl)c2ccccc12	None	3.9372537	4
CC(C)CCc1ccc(C=CNC(=O)c2ccc(O)cc2-c2ccccc2)cc1	True	CC(C)CCc1ccc(C=CNC(=O)c2ccc(O)cc2-c2ccccc2)cc1	None	2.9316294	3
CCCCCCCCCCCCCCCC(C)C1COc2ccccc2CN1	True	CCCCCCCCCCCCCCCC(C)C1COc2ccccc2CN1	None	1.9061298	2
O=C1NC(c2ccc(OC(F)(F)F)cc2)Nc2ccc(C(F)(F)F)cc21	True	O=C1NC(c2ccc(OC(F)(F)F)cc2)Nc2ccc(C(F)(F)F)cc21	None	3.0283005	3
O=C(NS(=O)(=O)c1ccc(F)cc1)c1cccc(Br)c1	True	O=C(NS(=O)(=O)c1ccc(F)cc1)c1cccc(Br)c1	None	1.9550285	2
O=c1oc2ccccc2c(O)c1C	True	Cc1c(O)c2ccccc2oc1=O	None	2.1407564	2
COC(=O)C(CCc1ccccc2)C1c(OCC(C)C)CC2	True	COC(=O)C1CCC2=CC=CC=CCCC(OCC(C)C)C21	None	2.2956803	2
COc1ccc2[nH]c3c(c2c1)CCNCC3O	True	COc1ccc2[nH]c3c(c2c1)CCNCC3O	None	3.0368955	3
COc1ccccc1N1CCN(CCCCNS(=O)(=O)c2cnc3ncccc3c2)C1	True	COc1ccccc1N1CCN(CCCCNS(=O)(=O)c2cnc3ncccc3c2)C1	None	3.9850202	4
CCc1ccc(C(CC(C)C)c2ncc(Oc3ccc(C(F)(F)F)cc3)cc(C(F)(F)F)cn2)cc1	True	CCc1ccc(C(CC(C)C)C2=NC=C(Oc3ccc(C(F)(F)F)cc3)C=C(C(F)(F)F)C=N2)cc1	None	3.3076353	3
CN(C)C1Cc2ccccc2N(c2cccc(O)c2)CC1	True	CN(C)C1CCN(c2cccc(O)c2)c2ccccc2C1	None	3.0572393	3
CCCCn1nc(C(C)(C)C)sc1=NC(=O)c1cc(C(F)(F)F)ccc1ONC(C)(C(C)=O)	True	CCCCn1nc(C(C)(C)C)sc1=NC(=O)c1cc(C(F)(F)F)ccc1ONC(C)C(C)=O	None	1.9825668	2
CCOC(=O)c1nc2ccccc2n1Cc1ccccc1	True	CCOC(=O)c1nc2ccccc2n1Cc1ccccc1	None	2.979929	3
CC(C(=O)NCc1ccc(C(C)(C)C)cc1)c1ccc(NS(C)(=O)=O)cc1Cl	True	CC(C(=O)NCc1ccc(C(C)(C)C)cc1)c1ccc(NS(C)(=O)=O)cc1Cl	None	2.0114572	2
CCc1cc(-c2noc(-c3cc(C)nc(N(CC)CC)c3)n2)cc(C)c1OCC(O)CNC(=O)	True	CCc1cc(-c2noc(-c3cc(C)nc(N(CC)CC)c3)n2)cc(C)c1OCC(O)CNC=O	None	2.9121294	3
